Title,Fuel,Km,Price(L)
2007  Maruti Suzuki Baleno LXi,Petrol,99500,1.4
2007  Maruti Suzuki Baleno LXi,Petrol,25000,1.5
2007  Maruti Suzuki Baleno Std,Petrol,85000,1.5
2007  Maruti Suzuki Baleno VXi BS-III,Petrol,94000,2.5
2007  Maruti Suzuki Esteem LX BS-III,Petrol,100000,0.6
2007  Maruti Suzuki Esteem LX BS-III,Petrol,130000,1
2007  Maruti Suzuki Esteem LXi BS-III,Petrol,25000,1.15
2007  Maruti Suzuki Esteem LXi BS-III,Petrol,125000,2
2007  Maruti Suzuki Esteem LXi BS-III,Petrol,60000,3
2007  Maruti Suzuki Esteem VXi,Petrol,75000,1.1
2007  Maruti Suzuki Esteem VXi BS-III,Petrol,81000,2
2007  Maruti Suzuki Esteem VXi BS-III,Petrol,100000,1.4
2007  Maruti Suzuki Esteem VXi BS-III,Petrol,20000,1.5
2007  Maruti Suzuki Esteem VXi BS-III,Petrol,75000,1
2007  Maruti Suzuki Esteem VXi BS-III,Petrol,40000,0.75
2007  Maruti Suzuki Estilo LX,Petrol,40000,1.07
2007  Maruti Suzuki Estilo LX,Petrol,100000,1
2007  Maruti Suzuki Estilo LXi,Petrol,83163,2.3
2007  Maruti Suzuki Estilo LXi,Petrol,57000,1.45
2007  Maruti Suzuki Estilo LXi,Petrol,57000,1.45
2007  Maruti Suzuki Estilo LXi,Petrol,83163,2.3
2007  Maruti Suzuki Estilo LXi,Petrol,137437,1.75
2007  Maruti Suzuki Estilo LXi,Petrol,70850,1.55
2007  Maruti Suzuki Estilo LXi,Petrol,48000,1.15
2007  Maruti Suzuki Estilo LXi,Petrol,41290,0.9
2007  Maruti Suzuki Estilo LXi,Petrol,27580,1.2
2007  Maruti Suzuki Estilo LXi,Petrol,44000,1.7
2007  Maruti Suzuki Estilo LXi,Petrol,140000,0.75
2007  Maruti Suzuki Estilo LXi,Petrol,65000,1
2007  Maruti Suzuki Estilo LXi,Petrol,76000,1.84
2007  Maruti Suzuki Estilo LXi,Petrol,22500,1.55
2007  Maruti Suzuki Estilo LXi,Petrol,130000,1.87
2007  Maruti Suzuki Estilo LXi,Petrol,130000,1.15
2007  Maruti Suzuki Estilo LXi,Petrol,82241,1
2007  Maruti Suzuki Estilo LXi,Petrol,62748,1.1
2007  Maruti Suzuki Estilo LXi,Petrol,50000,1
2007  Maruti Suzuki Estilo LXi,Petrol,72000,1.2
2007  Maruti Suzuki Estilo LXi,Petrol,120000,2.5
2007  Maruti Suzuki Estilo LXi,Petrol,95000,1.5
2007  Maruti Suzuki Estilo LXi,Petrol,92000,1.3
2007  Maruti Suzuki Estilo LXi,Petrol,60000,1.93
2007  Maruti Suzuki Estilo LXi,Petrol,102000,1
2007  Maruti Suzuki Estilo LXi BS-IV,Petrol,55000,1.15
2007  Maruti Suzuki Estilo VXi,Petrol,25270,0.61719
2007  Maruti Suzuki Estilo VXi,Petrol,65000,1.2
2007  Maruti Suzuki Estilo VXi,Petrol,73000,1.5
2007  Maruti Suzuki Estilo VXi,Petrol,79000,1.95
2007  Maruti Suzuki Estilo VXi,Petrol,37200,1
2007  Maruti Suzuki Estilo VXi,Petrol,80000,2
2007  Maruti Suzuki Estilo VXi,Petrol,67000,1
2007  Maruti Suzuki Estilo VXi,Petrol,125000,1.3
2007  Maruti Suzuki Estilo VXi,Petrol,100000,1.75
2007  Maruti Suzuki Estilo VXi,Petrol,70000,1.5
2007  Maruti Suzuki Estilo VXi,Petrol,780000,1.5
2007  Maruti Suzuki Estilo VXi,Petrol,49000,1.2
2007  Maruti Suzuki Estilo VXi,Petrol,103000,1.1
2007  Maruti Suzuki Estilo VXi,Petrol,92500,1.31
2007  Maruti Suzuki Estilo VXi,Petrol,100200,1.45
2007  Maruti Suzuki Grand Vitara 2.0 AT,Petrol,50000,3.5
2007  Maruti Suzuki Grand Vitara 2.0 AT,Petrol,50000,3.5
2007  Maruti Suzuki Grand Vitara 2.0 MT,Petrol,115552,5.25
2007  Maruti Suzuki Grand Vitara 2.0 MT,Petrol,100000,3
2007  Maruti Suzuki Grand Vitara 2.0 MT,Petrol,115552,5.25
2007  Maruti Suzuki Grand Vitara 2.0 MT,Petrol,100000,3
2007  Maruti Suzuki Grand Vitara 2.4 AT [2009-2015],Petrol,92000,3.45
2007  Maruti Suzuki Grand Vitara 2.4 AT [2009-2015],Petrol,92000,3.45
2007  Maruti Suzuki Omni 8 STR BS-III,Petrol,62425,1.15
2007  Maruti Suzuki SX4 VXi,Petrol,174000,2
2007  Maruti Suzuki SX4 VXi,Petrol,100000,3.75
2007  Maruti Suzuki SX4 VXi,Petrol,86000,2.3
2007  Maruti Suzuki SX4 VXi,Petrol,19000,2.25
2007  Maruti Suzuki SX4 VXI BS-IV,Petrol,98800,1.4
2007  Maruti Suzuki SX4 VXI BS-IV,Petrol,90000,1.12
2007  Maruti Suzuki SX4 VXI BS-IV,Petrol,87443,2.15
2007  Maruti Suzuki SX4 ZDI LEATHER,Diesel,167345,2.5
2007  Maruti Suzuki SX4 ZDI LEATHER,Diesel,100000,2.5
2007  Maruti Suzuki SX4 ZXi,Petrol,108000,3
2007  Maruti Suzuki SX4 ZXi,Petrol,85000,2.25
2007  Maruti Suzuki SX4 ZXi,Petrol,58000,1.87
2007  Maruti Suzuki SX4 ZXi,Petrol,70000,1.95
2007  Maruti Suzuki SX4 ZXi,Petrol,80000,1.9
2007  Maruti Suzuki SX4 ZXi,Petrol,112000,1.9
2007  Maruti Suzuki SX4 ZXi,Petrol,91600,3.2
2007  Maruti Suzuki SX4 ZXi,Petrol,87500,1.8
2007  Maruti Suzuki SX4 ZXi,Petrol,175000,2.8
2007  Maruti Suzuki SX4 ZXi,Petrol,160000,3
2007  Maruti Suzuki SX4 ZXi,Petrol,119000,2.37
2007  Maruti Suzuki SX4 ZXi,Petrol,68000,3
2007  Maruti Suzuki SX4 ZXi,Petrol,150000,1.2
2007  Maruti Suzuki SX4 ZXi,Petrol,120000,3.15
2007  Maruti Suzuki SX4 ZXI AT BS-IV,Petrol,161000,2.5
2007  Maruti Suzuki SX4 ZXi Leather Option,Petrol,111000,2.5
2007  Maruti Suzuki SX4 ZXI MT BS-IV,Petrol,76790,2.69
2007  Maruti Suzuki Versa DX,Petrol,34000,3
2007  Maruti Suzuki Versa DX,Petrol,34000,3
2007  Maruti Suzuki Versa DX2 BS-III,Petrol,51554,1.25
2007  Maruti Suzuki Versa DX2 BS-III,Petrol,51554,1.25
2007  Maruti Suzuki Versa Std 5 STR BS-III,Petrol,23920,1.8
2007  Maruti Suzuki Versa Std 5 STR BS-III,Petrol,23920,1.8
2007  Mercedes-Benz C-Class 220 CDI Elegance AT,Diesel,60000,4.62
2007  Mercedes-Benz C-Class 220 CDI Elegance AT,Diesel,102000,8.5
2007  Mercedes-Benz E-Class 200 K Classic,Petrol,39000,5.1
2007  Mercedes-Benz E-Class 280 CDI Elegance,Diesel,119000,5.5
2007  Mercedes-Benz E-Class 280 CDI Elegance,Diesel,130000,6.25
2007  Mercedes-Benz E-Class 280 CDI Elegance,Diesel,106759,5.25
2007  Mercedes-Benz E-Class E280 CDI Avantgarde,Diesel,70000,7
2007  Mercedes-Benz M-Class 320 CDI,Diesel,104031,12
2007  Mercedes-Benz M-Class 320 CDI,Diesel,104031,12
2007  Mercedes-Benz M-Class 320 CDI,Diesel,104031,12
2007  Mercedes-Benz M-Class 320 CDI,Diesel,97000,12.9
2007  Mercedes-Benz S-Class 320 CDI,Diesel,136000,12
2007  Mercedes-Benz S-Class 320 CDI,Diesel,136000,12
2007  Mercedes-Benz S-Class 350,Petrol,47200,4.75
2007  Mercedes-Benz S-Class 350,Petrol,88000,6.9
2007  Mercedes-Benz S-Class 350,Petrol,77000,12.9
2007  Mercedes-Benz S-Class 350,Petrol,47200,4.75
2007  Mercedes-Benz S-Class 350,Petrol,88000,6.9
2007  Mercedes-Benz S-Class 350,Petrol,77000,12.9
2007  Mitsubishi Lancer LXd 2.0,Diesel,125000,2.25
2007  Mitsubishi Pajero GL 2.8,Diesel,66000,8.5
2007  Mitsubishi Pajero GLX 2.8,Diesel,85000,5.8
2007  Mitsubishi Pajero GLX 2.8 CRZ,Diesel,148000,5.7
2007  Mitsubishi Pajero SFX 2.8,Diesel,90786,6.75
2007  Skoda Laura Ambiente 1.9 PD,Diesel,118000,2.5
2007  Skoda Laura Elegance 1.9 PD,Diesel,140000,2.45
2007  Skoda Laura L&K 1.9 PD AT,Diesel,107000,3
2007  Skoda Laura L&K 1.9 PD AT,Diesel,169000,2.95
2007  Skoda Laura L&K 1.9 PD AT,Diesel,280000,3
2007  Skoda Laura L&K 1.9 PD MT,Diesel,127000,2
2007  Skoda Octavia 1.9 TDi,Diesel,145000,2
2007  Skoda Octavia 1.9 TDi,Diesel,73000,2
2007  Skoda Octavia Ambiente 1.9 TDi,Diesel,134000,2
2007  Skoda Octavia Elegance AT 1.9 TDI,Diesel,75000,1.65
2007  Toyota Camry W2 AT,Petrol,107100,2.5
2007  Toyota Camry W3 MT,Petrol,160000,2.5
2007  Toyota Camry W4 AT,Petrol,115000,4
2007  Toyota Corolla H1 1.8J,Petrol,175080,2.65
2007  Toyota Corolla H1 1.8J,Petrol,92000,3.5
2007  Toyota Corolla H1 1.8J,Petrol,174000,2.5
2007  Toyota Corolla H1 1.8J,Petrol,94500,4.5
2007  Toyota Corolla H1 1.8J,Petrol,150400,2.5
2007  Toyota Corolla H1 1.8J,Petrol,94000,4.5
2007  Toyota Corolla H1 1.8J,Petrol,7200,3.1
2007  Toyota Corolla H1 1.8J,Petrol,80000,3
2007  Toyota Corolla H2 1.8E,Petrol,183000,2.8
2007  Toyota Corolla H2 1.8E,Petrol,110000,3.5
2007  Toyota Corolla H2 1.8E,Petrol,70000,3.22
2007  Toyota Corolla H2 1.8E,Petrol,70000,1.5
2007  Toyota Corolla H3 1.8G,Petrol,70000,3.75
2007  Toyota Corolla H5 1.8E,Petrol,128000,3.01
2007  Toyota Corolla HE 1.8J,Petrol,167000,2.25
2007  Toyota Innova 2.5 G 7 STR BS-IV,Diesel,140000,4
2007  Toyota Land Cruiser Prado VX,Petrol,90000,13.49
2007  Toyota Land Cruiser Prado VX,Petrol,214000,9.99
2007  Toyota Land Cruiser Prado VX,Petrol,55000,11
2007  Toyota Land Cruiser Prado VX,Petrol,62593,2.93
2007  Toyota Land Cruiser Prado VX,Petrol,55000,11
2007  Toyota Land Cruiser Prado VX,Petrol,62593,2.93
2007  Toyota Land Cruiser Prado VX,Petrol,214000,9.99
2007  Toyota Land Cruiser Prado VX,Petrol,90000,13.49
2007  Toyota Land Cruiser Prado VX,Petrol,62593,2.93
2007  Toyota Land Cruiser Prado VX,Petrol,90000,13.49
2007  Toyota Land Cruiser Prado VX,Petrol,55000,11
2007  Toyota Land Cruiser Prado VX,Petrol,62593,2.93
2007  Toyota Land Cruiser Prado VX,Petrol,214000,9.99
2007  Toyota Land Cruiser Prado VX,Petrol,62593,2.93
2008  Audi A6 3.0 TDI quattro,Diesel,47000,9.75
2008  Audi A6 3.0 TFSI quattro,Petrol,46730,9.85
2008  Audi Q7 3.0 TDI quattro,Diesel,93000,12.45
2008  Audi Q7 3.0 TDI quattro,Diesel,85000,10
2008  Audi Q7 3.0 TDI quattro,Diesel,93000,12.45
2008  Audi Q7 3.0 TDI quattro,Diesel,85000,10
2008  Audi Q7 3.0 TDI quattro,Diesel,93000,12.45
2008  Audi Q7 3.0 TDI quattro,Diesel,85000,10
2008  Audi TT 3.2 Coupe quattro,Petrol,35000,23
2008  Audi TT 3.2 Coupe quattro,Petrol,35000,23
2008  Audi TT 3.2 Coupe quattro,Petrol,35000,23
2008  Bentley Continental Flying Spur Sedan,Petrol,18500,48.5
2008  Bentley Continental Flying Spur Sedan,Petrol,25000,37.55
2008  BMW 3 Series 320d Sedan,Diesel,95211,7.25
2008  BMW 5 Series 530d Highline Sedan,Diesel,80000,10.5
2008  BMW 6 Series 650i Coupe,Petrol,32000,15.5
2008  BMW 6 Series 650i Coupe,Petrol,40000,24.5
2008  BMW 6 Series 650i Coupe,Petrol,44000,16
2008  BMW 6 Series 650i Coupe,Petrol,30000,22.9
2008  BMW 6 Series 650i Coupe,Petrol,7100,16.95
2008  BMW 6 Series 650i Coupe,Petrol,32000,15.5
2008  BMW 6 Series 650i Coupe,Petrol,40000,24.5
2008  BMW 6 Series 650i Coupe,Petrol,44000,16
2008  BMW 6 Series 650i Coupe,Petrol,30000,22.9
2008  BMW 6 Series 650i Coupe,Petrol,7100,16.95
2008  BMW 6 Series 650i Coupe,Petrol,32000,15.5
2008  BMW 6 Series 650i Coupe,Petrol,40000,24.5
2008  BMW 6 Series 650i Coupe,Petrol,44000,16
2008  BMW 6 Series 650i Coupe,Petrol,30000,22.9
2008  BMW 6 Series 650i Coupe,Petrol,7100,16.95
2008  BMW 6 Series 650i Coupe,Petrol,40000,24.5
2008  BMW 6 Series 650i Coupe,Petrol,32000,15.5
2008  BMW 6 Series 650i Coupe,Petrol,44000,16
2008  BMW 6 Series 650i Coupe,Petrol,30000,22.9
2008  BMW 6 Series 650i Coupe,Petrol,7100,16.95
2008  BMW 6 Series 650i Coupe,Petrol,32000,15.5
2008  BMW 6 Series 650i Coupe,Petrol,44000,16
2008  BMW 6 Series 650i Coupe,Petrol,40000,24.5
2008  BMW 6 Series 650i Coupe,Petrol,30000,22.9
2008  BMW 6 Series 650i Coupe,Petrol,7100,16.95
2008  BMW 7 Series 730Ld Sedan,Diesel,78000,9
2008  BMW 7 Series 730Ld Sedan,Diesel,78000,9
2008  BMW 7 Series 740Li Sedan,Petrol,75000,5.9
2008  BMW 7 Series 740Li Sedan,Petrol,35000,15
2008  BMW 7 Series 740Li Sedan,Petrol,95000,10.9
2008  BMW 7 Series 740Li Sedan,Petrol,75000,5.9
2008  BMW 7 Series 740Li Sedan,Petrol,35000,15
2008  BMW 7 Series 740Li Sedan,Petrol,95000,10.9
2008  BMW 7 Series 750Li Sedan,Petrol,71000,7.25
2008  BMW 7 Series 750Li Sedan,Petrol,71000,7.25
2008  BMW 7 Series 750Li Sedan,Petrol,55000,10.5
2008  BMW 7 Series 750Li Sedan,Petrol,71000,7.25
2008  BMW 7 Series 750Li Sedan,Petrol,55000,10.5
2008  BMW X5 3.0d,Diesel,150000,10
2008  BMW X5 3.0d,Diesel,118000,9.25
2008  BMW X5 3.0d,Diesel,150000,10
2008  BMW X5 3.0d,Diesel,118000,9.25
2008  BMW X5 3.0d,Diesel,150000,10
2008  BMW X5 3.0d,Diesel,118000,9.25
2008  BMW X5 3.0d,Diesel,150000,10
2008  BMW X5 3.0d,Diesel,118000,9.25
2008  BMW X5 3.0d,Diesel,150000,10
2008  BMW X5 3.0d,Diesel,118000,9.25
2008  BMW X5 3.0d,Diesel,150000,10
2008  BMW X5 3.0d,Diesel,118000,9.25
2008  BMW X5 SAV 4.4i,Petrol,145000,6
2008  BMW X5 SAV 4.4i,Petrol,145000,6
2008  BMW X5 SAV 4.4i,Petrol,145000,6
2008  BMW X5 SAV 4.4i,Petrol,145000,6
2008  BMW X5 SAV 4.4i,Petrol,145000,6
2008  BMW X5 SAV 4.4i,Petrol,145000,6
2008  Chevrolet Aveo 1.4,Petrol,67000,1.2
2008  Chevrolet Aveo 1.4,Petrol,75000,1.25
2008  Chevrolet Aveo 1.4,Petrol,52000,2.24
2008  Chevrolet Aveo 1.4,Petrol,67000,1.2
2008  Chevrolet Aveo 1.4,Petrol,75000,1.25
2008  Chevrolet Aveo 1.4,Petrol,52000,2.24
2008  Chevrolet Aveo LS 1.4,Petrol,85000,1
2008  Chevrolet Aveo LS 1.4,Petrol,64000,2.5
2008  Chevrolet Aveo LS 1.4,Petrol,85000,1
2008  Chevrolet Aveo LS 1.4,Petrol,64000,2.5
2008  Chevrolet Aveo LS 1.4 Ltd,Petrol,86469,2
2008  Chevrolet Aveo LS 1.4 Ltd,Petrol,86469,2
2008  Chevrolet Aveo LT 1.6,Petrol,125000,1.6
2008  Chevrolet Aveo LT 1.6,Petrol,211000,1.8
2008  Chevrolet Aveo LT 1.6,Petrol,60000,2.4
2008  Chevrolet Aveo LT 1.6,Petrol,125000,1.65
2008  Chevrolet Aveo LT 1.6,Petrol,125000,1.6
2008  Chevrolet Aveo LT 1.6,Petrol,211000,1.8
2008  Chevrolet Aveo LT 1.6,Petrol,60000,2.4
2008  Chevrolet Aveo LT 1.6,Petrol,125000,1.65
2008  Chevrolet Aveo U-VA 1.2,Petrol,40000,1.61
2008  Chevrolet Aveo U-VA 1.2,Petrol,55000,1.1
2008  Chevrolet Aveo U-VA 1.2,Petrol,136000,1
2008  Chevrolet Aveo U-VA 1.2,Petrol,75000,1
2008  Chevrolet Aveo U-VA 1.2,Petrol,94000,1.29
2008  Chevrolet Aveo U-VA 1.2,Petrol,39000,1.75
2008  Chevrolet Aveo U-VA 1.2,Petrol,89478,1.38
2008  Chevrolet Aveo U-VA 1.2,Petrol,101700,1.5
2008  Chevrolet Aveo U-VA 1.2,Petrol,40000,1.61
2008  Chevrolet Aveo U-VA 1.2,Petrol,55000,1.1
2008  Chevrolet Aveo U-VA 1.2,Petrol,136000,1
2008  Chevrolet Aveo U-VA 1.2,Petrol,75000,1
2008  Chevrolet Aveo U-VA 1.2,Petrol,94000,1.29
2008  Chevrolet Aveo U-VA 1.2,Petrol,39000,1.75
2008  Chevrolet Aveo U-VA 1.2,Petrol,89478,1.38
2008  Chevrolet Aveo U-VA 1.2,Petrol,101700,1.5
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,62000,1.5
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,68000,1.25
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,35000,1.5
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,64000,1.2
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,80000,1.6
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,77000,1.4
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,17000,1.9
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,63000,1.25
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,88500,1.56
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,30000,2.2
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,90000,1
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,92000,1.1
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,86000,0.7
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,62000,1.5
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,68000,1.25
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,35000,1.5
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,64000,1.2
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,80000,1.6
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,77000,1.4
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,17000,1.9
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,63000,1.25
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,88500,1.56
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,30000,2.2
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,90000,1
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,92000,1.1
2008  Chevrolet Aveo U-VA LS 1.2,Petrol,86000,0.7
2008  Chevrolet Aveo U-VA LT 1.2,Petrol,127000,1.18
2008  Chevrolet Aveo U-VA LT 1.2,Petrol,78000,1.2
2008  Chevrolet Aveo U-VA LT 1.2,Petrol,127000,1.18
2008  Chevrolet Aveo U-VA LT 1.2,Petrol,78000,1.2
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LT,Diesel,155000,3.5
2008  Chevrolet Captiva LT,Diesel,49000,3
2008  Chevrolet Captiva LT,Diesel,178000,3
2008  Chevrolet Captiva LT,Diesel,125000,2.5
2008  Chevrolet Captiva LT,Diesel,135000,4
2008  Chevrolet Captiva LT,Diesel,125000,3
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Captiva LTZ AWD AT,Diesel,120000,3.8
2008  Chevrolet Optra Magnum LS 1.6,Petrol,111000,1.8
2008  Chevrolet Optra Magnum LS 1.6,Petrol,111000,1.8
2008  Chevrolet Optra Magnum LS 1.6,Petrol,111000,1.8
2008  Chevrolet Optra Magnum LS 1.6,Petrol,111000,1.8
2008  Chevrolet Optra Magnum LS 1.6,Petrol,111000,1.8
2008  Chevrolet Optra Magnum LS 1.6,Petrol,111000,1.8
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,108867,2.02
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,135000,3.06
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,108867,2.02
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,135000,3.06
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,108867,2.02
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,135000,3.06
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,108867,2.02
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,135000,3.06
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,108867,2.02
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,135000,3.06
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,108867,2.02
2008  Chevrolet Optra Magnum LS 2.0 TCDi,Diesel,135000,3.06
2008  Chevrolet Optra Magnum LT 1.6,Petrol,80000,1.75
2008  Chevrolet Optra Magnum LT 1.6,Petrol,110000,2.2
2008  Chevrolet Optra Magnum LT 1.6,Petrol,80000,1.75
2008  Chevrolet Optra Magnum LT 1.6,Petrol,110000,2.2
2008  Chevrolet Optra Magnum LT 1.6,Petrol,80000,1.75
2008  Chevrolet Optra Magnum LT 1.6,Petrol,110000,2.2
2008  Chevrolet Optra Magnum LT 1.6,Petrol,80000,1.75
2008  Chevrolet Optra Magnum LT 1.6,Petrol,110000,2.2
2008  Chevrolet Optra Magnum LT 1.6,Petrol,80000,1.75
2008  Chevrolet Optra Magnum LT 1.6,Petrol,110000,2.2
2008  Chevrolet Optra Magnum LT 1.6,Petrol,80000,1.75
2008  Chevrolet Optra Magnum LT 1.6,Petrol,110000,2.2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,190000,2.26
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,28428,2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,93400,1.2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,190000,2.26
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,28428,2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,93400,1.2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,190000,2.26
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,28428,2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,93400,1.2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,190000,2.26
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,28428,2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,93400,1.2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,190000,2.26
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,28428,2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,93400,1.2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,190000,2.26
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,28428,2
2008  Chevrolet Optra Magnum LT 2.0 TCDi,Diesel,93400,1.2
2008  Chevrolet Optra Magnum Max 1.6,Petrol,48884,1.6
2008  Chevrolet Optra Magnum Max 1.6,Petrol,48884,1.6
2008  Chevrolet Optra Magnum Max 1.6,Petrol,48884,1.6
2008  Chevrolet Optra Magnum Max 1.6,Petrol,48884,1.6
2008  Chevrolet Optra Magnum Max 1.6,Petrol,48884,1.6
2008  Chevrolet Optra Magnum Max 1.6,Petrol,48884,1.6
2008  Chevrolet Optra Magnum MAX 2.0 TCDi,Diesel,99000,2
2008  Chevrolet Optra Magnum MAX 2.0 TCDi,Diesel,99000,2
2008  Chevrolet Optra Magnum MAX 2.0 TCDi,Diesel,99000,2
2008  Chevrolet Optra Magnum MAX 2.0 TCDi,Diesel,99000,2
2008  Chevrolet Optra Magnum MAX 2.0 TCDi,Diesel,99000,2
2008  Chevrolet Optra Magnum MAX 2.0 TCDi,Diesel,99000,2
2008  Chevrolet Optra SRV 1.6,Petrol,70000,2.2
2008  Chevrolet Optra SRV 1.6,Petrol,70000,2.2
