Title,Fuel,Km,Price(L)
1998  Mercedes-Benz W123 300 D,Diesel,49000,13
1998  Mercedes-Benz W123 300 D,Diesel,92000,12
1998  Mitsubishi Pajero GLX 2.8 CRZ,Diesel,110000,7.7
1998  Opel Astra 1.6,Petrol,99999,7
1998  Toyota Celica Coupe,Petrol,10000,5
1998  Toyota Celica Coupe,Petrol,200,10
1998  Toyota Celica Coupe,Petrol,100,1
1998  Toyota Celica Coupe,Petrol,100000,15
1998  Toyota Celica Coupe,Petrol,10000,5
1998  Toyota Celica Coupe,Petrol,200,10
1998  Toyota Celica Coupe,Petrol,100,1
1998  Toyota Celica Coupe,Petrol,100000,15
1998  Toyota Corolla Levin Fz,Petrol,200,5
1998  Toyota Corolla Levin Fz,Petrol,20000,10
1998  Toyota FJ Cruiser Petrol,Petrol,250,22
1998  Toyota FJ Cruiser Petrol,Petrol,112399,13
1998  Volkswagen Caravelle T3,Petrol,250000,2.5
1998  Volkswagen Caravelle T3,Petrol,250000,2.5
1998  Volkswagen Caravelle T3,Petrol,250000,2.5
1999  Ford Ikon 1.3 EXi,Petrol,200,2
1999  Ford Model T Petrol,Petrol,109999,1
1999  Ford Model T Petrol,Petrol,109999,1
1999  Ford Model T Petrol,Petrol,109999,1
1999  Ford Model T Petrol,Petrol,109999,1
1999  Mahindra Armada AC,Diesel,476,9.88
1999  Mahindra Armada AC,Diesel,50000,6
1999  Mahindra Armada AC,Diesel,50000,0.5
1999  Mahindra Armada AC,Diesel,240,24
1999  Mahindra Armada AC,Diesel,95665,6
1999  Mahindra Armada Std,Diesel,9999,3.39
1999  Mahindra Marshal DI,Diesel,70000,5
1999  Mahindra Marshal DI,Diesel,100,16
1999  Mahindra Marshal DI,Diesel,123212,1.49
1999  Mahindra Marshal DI,Diesel,100,2
1999  Mahindra Marshal DI,Diesel,20000,2
1999  Mahindra Marshal DI DX,Diesel,70000,2.5
1999  Maruti Suzuki 1000 AC,Petrol,84675,2.75
1999  Maruti Suzuki 1000 AC,Petrol,110,6
1999  Maruti Suzuki 1000 AC,Petrol,100,1.5
1999  Maruti Suzuki 1000 AC,Petrol,100,1.5
1999  Maruti Suzuki 1000 AC,Petrol,10000,1
1999  Maruti Suzuki 1000 Std,Petrol,20000,0.25
1999  Maruti Suzuki 1000 Std,Petrol,123,0.5
1999  Maruti Suzuki 800 AC,Petrol,90000,0.45
1999  Maruti Suzuki 800 AC,Petrol,10000,0.55
1999  Maruti Suzuki 800 DX,Petrol,47000,0.35
1999  Maruti Suzuki 800 DX,Petrol,34000,0.6
1999  Maruti Suzuki 800 EX BS-II,Petrol,51000,0.55
1999  Maruti Suzuki 800 Std,Petrol,95000,0.35
1999  Maruti Suzuki 800 Std,Petrol,42000,0.43
1999  Maruti Suzuki 800 Std,Petrol,80000,0.7
1999  Maruti Suzuki 800 Std,Petrol,70000,0.35
1999  Maruti Suzuki 800 Std,Petrol,168000,0.85
1999  Maruti Suzuki 800 Std,Petrol,6700,0.28
1999  Maruti Suzuki Baleno Altura,Petrol,9999,5
1999  Maruti Suzuki Baleno Altura,Petrol,200,0.5
1999  Maruti Suzuki Baleno Altura,Petrol,100000,0.5
1999  Maruti Suzuki Baleno Altura,Petrol,2580,5
1999  Maruti Suzuki Baleno LXi,Petrol,100000,1
1999  Maruti Suzuki Baleno LXi,Petrol,90000,1
1999  Maruti Suzuki Baleno LXi,Petrol,9999,1
1999  Maruti Suzuki Baleno LXi,Petrol,10000,5
1999  Maruti Suzuki Baleno VXI,Petrol,12000,3.5
1999  Maruti Suzuki Baleno VXI,Petrol,50000,4
1999  Maruti Suzuki Baleno VXI,Petrol,80000,4.5
1999  Maruti Suzuki Esteem AX,Petrol,1000,1.5
1999  Maruti Suzuki Esteem LXi BS-II,Petrol,55456,5
1999  Maruti Suzuki Esteem VX,Petrol,120000,0.6
1999  Maruti Suzuki Esteem VX BS-II,Petrol,10000,0.9
1999  Maruti Suzuki Gypsy King HT,Petrol,20000,2.3
1999  Maruti Suzuki Gypsy King HT,Petrol,9999,7
1999  Maruti Suzuki Gypsy King HT,Petrol,20000,2.3
1999  Maruti Suzuki Gypsy King HT,Petrol,9999,7
1999  Maruti Suzuki Gypsy King ST,Petrol,69000,3.25
1999  Maruti Suzuki Gypsy King ST,Petrol,100000,1
1999  Maruti Suzuki Gypsy King ST,Petrol,69000,3.25
1999  Maruti Suzuki Gypsy King ST,Petrol,100000,1
1999  Maruti Suzuki Zen AT,Petrol,56800,0.4
1999  Maruti Suzuki Zen LX,Petrol,49089,0.65
1999  Maruti Suzuki Zen LX,Petrol,47000,0.45
1999  Maruti Suzuki Zen LXi,Petrol,36000,0.85
1999  Maruti Suzuki Zen LXi,Petrol,32137,0.45
1999  Maruti Suzuki Zen LXi,Petrol,76000,0.6
1999  Maruti Suzuki Zen LXi,Petrol,112000,0.55
1999  Maruti Suzuki Zen LXi,Petrol,567799,0.5
1999  Maruti Suzuki Zen VX,Petrol,95972,1
1999  Maruti Suzuki Zen VXi,Petrol,19000,0.65
1999  Mitsubishi Lancer GLXd 2.0,Diesel,200000,0.65
2000  Audi S8 5.2 V10,Diesel,100000,1
2000  Audi S8 5.2 V10,Diesel,100,1.6
2000  Audi S8 5.2 V10,Diesel,100000,1
2000  Audi S8 5.2 V10,Diesel,100,1.6
2000  BMW Z3 Roadster,Petrol,70000,12
2000  BMW Z3 Roadster,Petrol,70000,12
2000  BMW Z3 Roadster,Petrol,70000,12
2000  BMW Z3 Roadster,Petrol,70000,12
2000  BMW Z3 Roadster,Petrol,70000,12
2000  BMW Z3 Roadster,Petrol,70000,12
2000  Ford Ikon 1.6 ZXi,Petrol,60200,0.6
2000  Hindustan Motors Ambassador Classic 1500 DSL AC,Diesel,70000,1.35
2000  Lexus LS 600 HL Hybrid,Petrol,67000,8
2000  Mahindra Armada Grand 2WD,Diesel,5000,1.3
2000  Mahindra Armada Grand 4WD,Diesel,9999,2
2000  Mahindra Marshal DI,Diesel,1236,1
2000  Mahindra Marshal DI DX,Diesel,100000,2.5
2000  Maruti Suzuki 1000 AC,Petrol,45000,1.5
2000  Maruti Suzuki 1000 AC,Petrol,50000,5
2000  Maruti Suzuki 1000 AC,Petrol,20000,2
2000  Maruti Suzuki 1000 AC,Petrol,258155,12
2000  Maruti Suzuki 1000 AC,Petrol,100000,4
2000  Maruti Suzuki 1000 AC,Petrol,205263,1
2000  Maruti Suzuki 1000 AC,Petrol,100,1.5
2000  Maruti Suzuki 1000 Std,Petrol,75000,0.85
2000  Maruti Suzuki 1000 Std,Petrol,100000,1
2000  Maruti Suzuki 800 AC,Petrol,85000,0.5
2000  Maruti Suzuki 800 AC BS-II,Petrol,65000,0.35
2000  Maruti Suzuki 800 AC BS-III,Petrol,90000,1
2000  Maruti Suzuki 800 AC BS-III,Petrol,100,2
2000  Maruti Suzuki 800 DX 5 SPEED,Petrol,73000,0.95
2000  Maruti Suzuki 800 DX 5 SPEED,Petrol,65000,0.47
2000  Maruti Suzuki 800 DX BS-II,Petrol,39000,0.6
2000  Maruti Suzuki 800 EX BS-II,Petrol,24900,0.45
2000  Maruti Suzuki 800 EX BS-II,Petrol,47000,0.75
2000  Maruti Suzuki 800 EX BS-II,Petrol,3000,1.5
2000  Maruti Suzuki 800 Std,Petrol,50000,1.2
2000  Maruti Suzuki 800 Std MPFi,Petrol,95555,0.9
2000  Maruti Suzuki Baleno Altura,Petrol,20000,4
2000  Maruti Suzuki Baleno LXi,Petrol,100000,2
2000  Maruti Suzuki Baleno LXi,Petrol,100,5
2000  Maruti Suzuki Baleno LXi,Petrol,300,2.5
2000  Maruti Suzuki Baleno VXI,Petrol,70000,1.2
2000  Maruti Suzuki Baleno VXI,Petrol,211017,1
2000  Maruti Suzuki Baleno VXi BS-III,Petrol,6000,2
2000  Maruti Suzuki Esteem AX BS-II,Petrol,100000,20
2000  Maruti Suzuki Esteem LX,Petrol,54286,0.45
2000  Maruti Suzuki Esteem LXi BS-II,Petrol,8647,1.5
