year,company,model,fuel,km,price(L)
1999,Maruti Suzuki,800,Petrol,90000,0.45
1999,Maruti Suzuki,800,Petrol,10000,0.55
1999,Maruti Suzuki,800,Petrol,47000,0.35
1999,Maruti Suzuki,800,Petrol,34000,0.6
1999,Maruti Suzuki,800,Petrol,51000,0.55
1999,Maruti Suzuki,800,Petrol,95000,0.35
1999,Maruti Suzuki,800,Petrol,42000,0.43
1999,Maruti Suzuki,800,Petrol,80000,0.7
1999,Maruti Suzuki,800,Petrol,70000,0.35
1999,Maruti Suzuki,800,Petrol,168000,0.85
1999,Maruti Suzuki,800,Petrol,6700,0.28
1999,Maruti Suzuki,Baleno,Petrol,9999,5
1999,Maruti Suzuki,Baleno,Petrol,200,0.5
1999,Maruti Suzuki,Baleno,Petrol,100000,0.5
1999,Maruti Suzuki,Baleno,Petrol,2580,5
1999,Maruti Suzuki,Baleno,Petrol,100000,1
1999,Maruti Suzuki,Baleno,Petrol,90000,1
1999,Maruti Suzuki,Baleno,Petrol,9999,1
1999,Maruti Suzuki,Baleno,Petrol,10000,5
1999,Maruti Suzuki,Baleno,Petrol,12000,3.5
1999,Maruti Suzuki,Baleno,Petrol,50000,4
1999,Maruti Suzuki,Baleno,Petrol,80000,4.5
1999,Maruti Suzuki,Esteem,Petrol,1000,1.5
1999,Maruti Suzuki,Esteem,Petrol,55456,5
1999,Maruti Suzuki,Esteem,Petrol,120000,0.6
1999,Maruti Suzuki,Esteem,Petrol,10000,0.9
1999,Maruti Suzuki,Gypsy,Petrol,20000,2.3
1999,Maruti Suzuki,Gypsy,Petrol,9999,7
1999,Maruti Suzuki,Gypsy,Petrol,69000,3.25
1999,Maruti Suzuki,Gypsy,Petrol,100000,1
1999,Maruti Suzuki,Zen,Petrol,56800,0.4
1999,Maruti Suzuki,Zen,Petrol,49089,0.65
1999,Maruti Suzuki,Zen,Petrol,47000,0.45
1999,Maruti Suzuki,Zen,Petrol,36000,0.85
1999,Maruti Suzuki,Zen,Petrol,32137,0.45
1999,Maruti Suzuki,Zen,Petrol,76000,0.6
1999,Maruti Suzuki,Zen,Petrol,112000,0.55
1999,Maruti Suzuki,Zen,Petrol,567799,0.5
1999,Maruti Suzuki,Zen,Petrol,95972,1
1999,Maruti Suzuki,Zen,Petrol,19000,0.65
1999,Mitsubishi,Lancer,Diesel,200000,0.65
2000,Audi,S8,Diesel,100000,1
2000,Audi,S8,Diesel,100,1.6
2000,BMW,Z3,Petrol,70000,12
2000,Ford,Ikon,Petrol,60200,0.6
2000,Hindustan Motors,Ambassador,Diesel,70000,1.35
2000,Lexus,LS,Petrol,67000,8
2000,Mahindra,Armada,Diesel,5000,1.3
2000,Mahindra,Armada,Diesel,9999,2
2000,Mahindra,Marshal,Diesel,1236,1
2000,Mahindra,Marshal,Diesel,100000,2.5
2000,Maruti Suzuki,1000,Petrol,45000,1.5
